名稱	閃電種類	時間	經度	緯度
雲間閃電 93-2022-08-06 16:02	雲間	2022-08-06 16	120.593	23.027
對地閃電 95-2022-08-06 16:02	對地	2022-08-06 16	120.407	23.246
對地閃電 96-2022-08-06 16:02	對地	2022-08-06 16	120.554	22.979
對地閃電 97-2022-08-06 16:02	對地	2022-08-06 16	120.377	23.144
對地閃電 98-2022-08-06 16:02	對地	2022-08-06 16	120.426	23.348
對地閃電 99-2022-08-06 16:02	對地	2022-08-06 16	120.452	23.247
對地閃電 100-2022-08-06 16:02	對地	2022-08-06 16	120.418	23.265
雲間閃電 94-2022-08-06 16:02	雲間	2022-08-06 16	120.474	23.199
對地閃電 101-2022-08-06 16:02	對地	2022-08-06 16	120.442	23.29
對地閃電 102-2022-08-06 16:02	對地	2022-08-06 16	120.426	23.237
對地閃電 103-2022-08-06 16:02	對地	2022-08-06 16	120.447	23.291
雲間閃電 95-2022-08-06 16:02	雲間	2022-08-06 16	120.404	23.204
雲間閃電 96-2022-08-06 16:02	雲間	2022-08-06 16	120.445	23.211
雲間閃電 97-2022-08-06 16:02	雲間	2022-08-06 16	120.312	23.201
雲間閃電 98-2022-08-06 16:02	雲間	2022-08-06 16	120.362	23.302
對地閃電 104-2022-08-06 16:02	對地	2022-08-06 16	120.452	23.194
雲間閃電 99-2022-08-06 16:02	雲間	2022-08-06 16	120.417	23.238
對地閃電 105-2022-08-06 16:02	對地	2022-08-06 16	120.467	23.222
雲間閃電 100-2022-08-06 16:02	雲間	2022-08-06 16	120.567	23.024
對地閃電 106-2022-08-06 16:02	對地	2022-08-06 16	120.445	23.243
對地閃電 107-2022-08-06 16:02	對地	2022-08-06 16	120.452	23.239
對地閃電 108-2022-08-06 16:02	對地	2022-08-06 16	120.461	23.232
對地閃電 109-2022-08-06 16:02	對地	2022-08-06 16	120.53	23.422
對地閃電 110-2022-08-06 16:02	對地	2022-08-06 16	120.494	22.871
雲間閃電 101-2022-08-06 16:02	雲間	2022-08-06 16	120.484	23.356
對地閃電 111-2022-08-06 16:02	對地	2022-08-06 16	120.313	23.135
對地閃電 112-2022-08-06 16:02	對地	2022-08-06 16	120.394	23.227
對地閃電 113-2022-08-06 16:02	對地	2022-08-06 16	120.419	23.256
對地閃電 114-2022-08-06 16:02	對地	2022-08-06 16	120.478	23.215
對地閃電 115-2022-08-06 16:02	對地	2022-08-06 16	120.405	23.206
雲間閃電 102-2022-08-06 16:02	雲間	2022-08-06 16	120.379	23.25
雲間閃電 103-2022-08-06 16:02	雲間	2022-08-06 16	120.275	23.187
對地閃電 116-2022-08-06 16:02	對地	2022-08-06 16	120.404	23.229
雲間閃電 104-2022-08-06 16:02	雲間	2022-08-06 16	120.404	23.229
雲間閃電 105-2022-08-06 16:02	雲間	2022-08-06 16	120.397	23.296
雲間閃電 106-2022-08-06 16:02	雲間	2022-08-06 16	120.386	23.234
雲間閃電 107-2022-08-06 16:02	雲間	2022-08-06 16	120.413	23.267
雲間閃電 108-2022-08-06 16:02	雲間	2022-08-06 16	120.413	23.268
雲間閃電 109-2022-08-06 16:02	雲間	2022-08-06 16	120.352	23.287
雲間閃電 110-2022-08-06 16:02	雲間	2022-08-06 16	120.495	23.312
雲間閃電 111-2022-08-06 16:02	雲間	2022-08-06 16	120.599	22.987
對地閃電 117-2022-08-06 16:02	對地	2022-08-06 16	120.591	22.993
對地閃電 118-2022-08-06 16:02	對地	2022-08-06 16	120.53	22.957
對地閃電 119-2022-08-06 16:02	對地	2022-08-06 16	120.458	23.347
對地閃電 120-2022-08-06 16:02	對地	2022-08-06 16	120.465	23.236
對地閃電 121-2022-08-06 16:02	對地	2022-08-06 16	120.525	22.9
對地閃電 122-2022-08-06 16:02	對地	2022-08-06 16	120.423	23.314
雲間閃電 112-2022-08-06 16:02	雲間	2022-08-06 16	120.468	23.215
對地閃電 123-2022-08-06 16:02	對地	2022-08-06 16	120.444	23.224
對地閃電 124-2022-08-06 16:02	對地	2022-08-06 16	120.439	23.219
對地閃電 125-2022-08-06 16:02	對地	2022-08-06 16	120.35	23.112
雲間閃電 113-2022-08-06 16:02	雲間	2022-08-06 16	120.375	23.218
雲間閃電 114-2022-08-06 16:02	雲間	2022-08-06 16	120.58	22.998
對地閃電 126-2022-08-06 16:02	對地	2022-08-06 16	120.385	23.272
對地閃電 127-2022-08-06 16:02	對地	2022-08-06 16	120.568	23.0
雲間閃電 115-2022-08-06 16:02	雲間	2022-08-06 16	120.402	23.289
雲間閃電 116-2022-08-06 16:02	雲間	2022-08-06 16	120.468	23.199
對地閃電 128-2022-08-06 16:02	對地	2022-08-06 16	120.439	23.101
對地閃電 129-2022-08-06 16:02	對地	2022-08-06 16	120.419	23.138
雲間閃電 117-2022-08-06 16:02	雲間	2022-08-06 16	120.32	23.192
雲間閃電 118-2022-08-06 16:02	雲間	2022-08-06 16	120.44	23.307
雲間閃電 119-2022-08-06 16:02	雲間	2022-08-06 16	120.44	23.299
對地閃電 130-2022-08-06 16:02	對地	2022-08-06 16	120.382	23.285
對地閃電 131-2022-08-06 16:02	對地	2022-08-06 16	120.362	23.245
雲間閃電 120-2022-08-06 16:02	雲間	2022-08-06 16	120.38	23.301
雲間閃電 121-2022-08-06 16:02	雲間	2022-08-06 16	120.433	23.281
對地閃電 132-2022-08-06 16:02	對地	2022-08-06 16	120.542	22.965
