名稱	閃電種類	時間	經度	緯度
雲間閃電 330-2022-08-06 16:08	雲間	2022-08-06 16	120.379	23.139
雲間閃電 331-2022-08-06 16:08	雲間	2022-08-06 16	120.481	23.236
對地閃電 368-2022-08-06 16:08	對地	2022-08-06 16	120.562	23.488
雲間閃電 332-2022-08-06 16:08	雲間	2022-08-06 16	120.617	23.48
對地閃電 369-2022-08-06 16:08	對地	2022-08-06 16	120.436	23.336
對地閃電 370-2022-08-06 16:08	對地	2022-08-06 16	120.489	23.232
雲間閃電 333-2022-08-06 16:08	雲間	2022-08-06 16	120.451	23.311
雲間閃電 334-2022-08-06 16:08	雲間	2022-08-06 16	120.45	23.164
雲間閃電 335-2022-08-06 16:08	雲間	2022-08-06 16	120.45	23.164
對地閃電 371-2022-08-06 16:08	對地	2022-08-06 16	120.585	22.99
對地閃電 372-2022-08-06 16:08	對地	2022-08-06 16	120.566	22.988
雲間閃電 336-2022-08-06 16:08	雲間	2022-08-06 16	120.564	23.407
雲間閃電 337-2022-08-06 16:08	雲間	2022-08-06 16	120.521	23.281
雲間閃電 338-2022-08-06 16:08	雲間	2022-08-06 16	120.517	23.283
對地閃電 373-2022-08-06 16:08	對地	2022-08-06 16	120.461	23.357
雲間閃電 339-2022-08-06 16:08	雲間	2022-08-06 16	120.432	23.296
對地閃電 374-2022-08-06 16:08	對地	2022-08-06 16	120.444	23.22
雲間閃電 340-2022-08-06 16:08	雲間	2022-08-06 16	120.538	22.885
對地閃電 375-2022-08-06 16:08	對地	2022-08-06 16	120.648	23.006
雲間閃電 341-2022-08-06 16:08	雲間	2022-08-06 16	120.611	22.99
對地閃電 376-2022-08-06 16:08	對地	2022-08-06 16	120.413	23.271
雲間閃電 342-2022-08-06 16:08	雲間	2022-08-06 16	120.495	23.244
雲間閃電 343-2022-08-06 16:08	雲間	2022-08-06 16	120.714	23.31
雲間閃電 344-2022-08-06 16:08	雲間	2022-08-06 16	120.486	23.354
對地閃電 377-2022-08-06 16:08	對地	2022-08-06 16	120.456	23.212
雲間閃電 345-2022-08-06 16:08	雲間	2022-08-06 16	120.424	23.282
對地閃電 378-2022-08-06 16:08	對地	2022-08-06 16	120.509	23.431
雲間閃電 346-2022-08-06 16:08	雲間	2022-08-06 16	120.52	23.274
雲間閃電 347-2022-08-06 16:08	雲間	2022-08-06 16	120.548	23.472
對地閃電 379-2022-08-06 16:08	對地	2022-08-06 16	120.563	23.43
雲間閃電 348-2022-08-06 16:08	雲間	2022-08-06 16	120.408	23.305
對地閃電 380-2022-08-06 16:08	對地	2022-08-06 16	120.463	23.271
對地閃電 381-2022-08-06 16:08	對地	2022-08-06 16	120.441	23.298
對地閃電 382-2022-08-06 16:08	對地	2022-08-06 16	120.46	23.364
雲間閃電 349-2022-08-06 16:08	雲間	2022-08-06 16	120.584	23.001
雲間閃電 350-2022-08-06 16:08	雲間	2022-08-06 16	120.48	22.959
對地閃電 383-2022-08-06 16:08	對地	2022-08-06 16	120.49	23.384
雲間閃電 351-2022-08-06 16:08	雲間	2022-08-06 16	120.426	23.34
雲間閃電 352-2022-08-06 16:08	雲間	2022-08-06 16	120.529	22.937
對地閃電 384-2022-08-06 16:09	對地	2022-08-06 16	120.339	23.378
對地閃電 385-2022-08-06 16:09	對地	2022-08-06 16	120.456	23.196
雲間閃電 353-2022-08-06 16:09	雲間	2022-08-06 16	120.379	23.134
雲間閃電 354-2022-08-06 16:09	雲間	2022-08-06 16	120.383	23.128
對地閃電 386-2022-08-06 16:09	對地	2022-08-06 16	120.454	23.245
對地閃電 387-2022-08-06 16:09	對地	2022-08-06 16	120.382	23.128
雲間閃電 355-2022-08-06 16:09	雲間	2022-08-06 16	120.562	23.014
對地閃電 388-2022-08-06 16:09	對地	2022-08-06 16	120.511	22.963
雲間閃電 356-2022-08-06 16:09	雲間	2022-08-06 16	120.564	23.017
對地閃電 389-2022-08-06 16:09	對地	2022-08-06 16	120.549	23.471
對地閃電 390-2022-08-06 16:09	對地	2022-08-06 16	120.449	23.251
對地閃電 391-2022-08-06 16:09	對地	2022-08-06 16	120.446	23.351
雲間閃電 357-2022-08-06 16:09	雲間	2022-08-06 16	120.628	23.01
對地閃電 392-2022-08-06 16:09	對地	2022-08-06 16	120.257	23.128
對地閃電 393-2022-08-06 16:09	對地	2022-08-06 16	120.506	23.434
雲間閃電 358-2022-08-06 16:09	雲間	2022-08-06 16	120.457	23.208
對地閃電 394-2022-08-06 16:09	對地	2022-08-06 16	120.452	23.206
對地閃電 395-2022-08-06 16:09	對地	2022-08-06 16	120.448	23.204
雲間閃電 359-2022-08-06 16:09	雲間	2022-08-06 16	120.454	23.207
雲間閃電 360-2022-08-06 16:09	雲間	2022-08-06 16	120.595	22.961
對地閃電 396-2022-08-06 16:09	對地	2022-08-06 16	120.463	23.289
雲間閃電 361-2022-08-06 16:09	雲間	2022-08-06 16	120.371	23.188
雲間閃電 362-2022-08-06 16:09	雲間	2022-08-06 16	120.609	23.021
對地閃電 397-2022-08-06 16:09	對地	2022-08-06 16	120.57	23.392
對地閃電 398-2022-08-06 16:09	對地	2022-08-06 16	120.506	23.244
對地閃電 399-2022-08-06 16:09	對地	2022-08-06 16	120.513	22.942
對地閃電 400-2022-08-06 16:09	對地	2022-08-06 16	120.469	23.342
雲間閃電 363-2022-08-06 16:09	雲間	2022-08-06 16	120.457	23.314
雲間閃電 364-2022-08-06 16:09	雲間	2022-08-06 16	120.327	23.203
雲間閃電 365-2022-08-06 16:09	雲間	2022-08-06 16	120.48	23.379
雲間閃電 366-2022-08-06 16:09	雲間	2022-08-06 16	120.558	23.419
雲間閃電 367-2022-08-06 16:09	雲間	2022-08-06 16	120.387	23.233
對地閃電 401-2022-08-06 16:09	對地	2022-08-06 16	120.553	23.014
對地閃電 402-2022-08-06 16:09	對地	2022-08-06 16	120.558	23.018
雲間閃電 368-2022-08-06 16:09	雲間	2022-08-06 16	120.415	23.284
對地閃電 403-2022-08-06 16:09	對地	2022-08-06 16	120.378	23.13
雲間閃電 369-2022-08-06 16:09	雲間	2022-08-06 16	120.384	23.127
對地閃電 404-2022-08-06 16:09	對地	2022-08-06 16	120.43	23.318
對地閃電 405-2022-08-06 16:09	對地	2022-08-06 16	120.451	23.295
雲間閃電 370-2022-08-06 16:09	雲間	2022-08-06 16	120.419	23.29
雲間閃電 371-2022-08-06 16:09	雲間	2022-08-06 16	120.471	23.2
雲間閃電 372-2022-08-06 16:09	雲間	2022-08-06 16	120.478	23.198
雲間閃電 373-2022-08-06 16:09	雲間	2022-08-06 16	120.413	23.296
雲間閃電 374-2022-08-06 16:09	雲間	2022-08-06 16	120.489	23.216
對地閃電 406-2022-08-06 16:09	對地	2022-08-06 16	120.531	22.942
雲間閃電 375-2022-08-06 16:09	雲間	2022-08-06 16	120.336	23.21
雲間閃電 376-2022-08-06 16:09	雲間	2022-08-06 16	120.585	22.993
雲間閃電 377-2022-08-06 16:09	雲間	2022-08-06 16	120.32	23.126
雲間閃電 378-2022-08-06 16:09	雲間	2022-08-06 16	120.398	23.266
對地閃電 407-2022-08-06 16:09	對地	2022-08-06 16	120.414	23.301
對地閃電 408-2022-08-06 16:09	對地	2022-08-06 16	120.474	23.337
對地閃電 409-2022-08-06 16:09	對地	2022-08-06 16	120.435	23.286
對地閃電 410-2022-08-06 16:09	對地	2022-08-06 16	120.56	23.453
對地閃電 411-2022-08-06 16:09	對地	2022-08-06 16	120.512	23.005
雲間閃電 379-2022-08-06 16:09	雲間	2022-08-06 16	120.544	23.267
對地閃電 412-2022-08-06 16:09	對地	2022-08-06 16	120.523	23.264
對地閃電 413-2022-08-06 16:09	對地	2022-08-06 16	120.407	23.303
雲間閃電 380-2022-08-06 16:09	雲間	2022-08-06 16	120.313	23.273
對地閃電 414-2022-08-06 16:09	對地	2022-08-06 16	120.447	23.171
對地閃電 415-2022-08-06 16:09	對地	2022-08-06 16	120.381	23.123
對地閃電 416-2022-08-06 16:09	對地	2022-08-06 16	120.421	23.334
對地閃電 417-2022-08-06 16:09	對地	2022-08-06 16	120.558	23.016
雲間閃電 381-2022-08-06 16:09	雲間	2022-08-06 16	120.558	23.012
對地閃電 418-2022-08-06 16:09	對地	2022-08-06 16	120.553	23.013
對地閃電 419-2022-08-06 16:09	對地	2022-08-06 16	120.603	22.987
對地閃電 420-2022-08-06 16:09	對地	2022-08-06 16	120.564	22.863
對地閃電 421-2022-08-06 16:09	對地	2022-08-06 16	120.57	22.865
雲間閃電 382-2022-08-06 16:09	雲間	2022-08-06 16	120.265	23.173
雲間閃電 383-2022-08-06 16:09	雲間	2022-08-06 16	120.266	23.172
雲間閃電 384-2022-08-06 16:09	雲間	2022-08-06 16	120.276	23.17
對地閃電 422-2022-08-06 16:09	對地	2022-08-06 16	120.284	23.2
對地閃電 423-2022-08-06 16:09	對地	2022-08-06 16	120.474	23.35
對地閃電 424-2022-08-06 16:09	對地	2022-08-06 16	120.453	23.203
雲間閃電 385-2022-08-06 16:09	雲間	2022-08-06 16	120.562	22.989
對地閃電 425-2022-08-06 16:09	對地	2022-08-06 16	120.557	23.002
對地閃電 426-2022-08-06 16:10	對地	2022-08-06 16	120.38	23.257
雲間閃電 386-2022-08-06 16:10	雲間	2022-08-06 16	120.439	23.327
雲間閃電 387-2022-08-06 16:10	雲間	2022-08-06 16	120.467	22.955
對地閃電 427-2022-08-06 16:10	對地	2022-08-06 16	120.428	23.298
雲間閃電 388-2022-08-06 16:10	雲間	2022-08-06 16	120.438	23.192
對地閃電 428-2022-08-06 16:10	對地	2022-08-06 16	120.419	23.316
雲間閃電 389-2022-08-06 16:10	雲間	2022-08-06 16	120.39	23.236
雲間閃電 390-2022-08-06 16:10	雲間	2022-08-06 16	120.44	23.338
對地閃電 429-2022-08-06 16:10	對地	2022-08-06 16	120.576	23.011
雲間閃電 391-2022-08-06 16:10	雲間	2022-08-06 16	120.553	22.886
雲間閃電 392-2022-08-06 16:10	雲間	2022-08-06 16	120.321	23.128
雲間閃電 393-2022-08-06 16:10	雲間	2022-08-06 16	120.404	23.311
雲間閃電 394-2022-08-06 16:10	雲間	2022-08-06 16	120.445	23.307
對地閃電 430-2022-08-06 16:10	對地	2022-08-06 16	120.471	23.38
對地閃電 431-2022-08-06 16:10	對地	2022-08-06 16	120.49	23.376
對地閃電 432-2022-08-06 16:10	對地	2022-08-06 16	120.582	23.451
對地閃電 433-2022-08-06 16:10	對地	2022-08-06 16	120.581	23.452
雲間閃電 395-2022-08-06 16:10	雲間	2022-08-06 16	120.406	23.309
雲間閃電 396-2022-08-06 16:10	雲間	2022-08-06 16	120.621	22.972
雲間閃電 397-2022-08-06 16:10	雲間	2022-08-06 16	120.304	23.202
雲間閃電 398-2022-08-06 16:10	雲間	2022-08-06 16	120.489	22.913
雲間閃電 399-2022-08-06 16:10	雲間	2022-08-06 16	120.427	23.299
對地閃電 434-2022-08-06 16:10	對地	2022-08-06 16	120.393	23.125
對地閃電 435-2022-08-06 16:10	對地	2022-08-06 16	120.377	23.139
雲間閃電 400-2022-08-06 16:10	雲間	2022-08-06 16	120.414	23.129
雲間閃電 401-2022-08-06 16:10	雲間	2022-08-06 16	120.386	23.123
對地閃電 436-2022-08-06 16:10	對地	2022-08-06 16	120.386	23.123
對地閃電 437-2022-08-06 16:10	對地	2022-08-06 16	120.622	23.013
對地閃電 438-2022-08-06 16:10	對地	2022-08-06 16	120.538	22.875
對地閃電 439-2022-08-06 16:10	對地	2022-08-06 16	120.528	22.932
雲間閃電 402-2022-08-06 16:10	雲間	2022-08-06 16	120.531	22.928
對地閃電 440-2022-08-06 16:10	對地	2022-08-06 16	120.536	22.92
雲間閃電 403-2022-08-06 16:10	雲間	2022-08-06 16	120.547	22.981
雲間閃電 404-2022-08-06 16:10	雲間	2022-08-06 16	120.442	23.339
對地閃電 441-2022-08-06 16:10	對地	2022-08-06 16	120.393	23.304
雲間閃電 405-2022-08-06 16:10	雲間	2022-08-06 16	120.57	23.017
雲間閃電 406-2022-08-06 16:10	雲間	2022-08-06 16	120.56	23.02
對地閃電 442-2022-08-06 16:10	對地	2022-08-06 16	120.576	23.037
對地閃電 443-2022-08-06 16:10	對地	2022-08-06 16	120.467	23.217
雲間閃電 407-2022-08-06 16:10	雲間	2022-08-06 16	120.572	23.464
雲間閃電 408-2022-08-06 16:10	雲間	2022-08-06 16	120.558	23.467
對地閃電 444-2022-08-06 16:10	對地	2022-08-06 16	120.512	22.951
對地閃電 445-2022-08-06 16:10	對地	2022-08-06 16	120.513	22.948
雲間閃電 409-2022-08-06 16:10	雲間	2022-08-06 16	120.486	22.951
雲間閃電 410-2022-08-06 16:10	雲間	2022-08-06 16	120.468	23.352
對地閃電 446-2022-08-06 16:10	對地	2022-08-06 16	120.402	23.297
對地閃電 447-2022-08-06 16:10	對地	2022-08-06 16	120.616	23.009
對地閃電 448-2022-08-06 16:10	對地	2022-08-06 16	120.61	23.005
雲間閃電 411-2022-08-06 16:10	雲間	2022-08-06 16	120.499	23.345
對地閃電 449-2022-08-06 16:10	對地	2022-08-06 16	120.468	23.296
對地閃電 450-2022-08-06 16:10	對地	2022-08-06 16	120.436	22.94
對地閃電 451-2022-08-06 16:10	對地	2022-08-06 16	120.303	23.237
雲間閃電 412-2022-08-06 16:10	雲間	2022-08-06 16	120.302	23.236
對地閃電 452-2022-08-06 16:10	對地	2022-08-06 16	120.588	22.994
對地閃電 453-2022-08-06 16:10	對地	2022-08-06 16	120.604	22.991
對地閃電 454-2022-08-06 16:10	對地	2022-08-06 16	120.603	22.994
雲間閃電 413-2022-08-06 16:10	雲間	2022-08-06 16	120.465	23.372
對地閃電 455-2022-08-06 16:10	對地	2022-08-06 16	120.434	23.237
對地閃電 456-2022-08-06 16:10	對地	2022-08-06 16	120.436	23.236
雲間閃電 414-2022-08-06 16:10	雲間	2022-08-06 16	120.503	22.925
雲間閃電 415-2022-08-06 16:10	雲間	2022-08-06 16	120.35	23.266
雲間閃電 416-2022-08-06 16:10	雲間	2022-08-06 16	120.482	22.968
對地閃電 457-2022-08-06 16:10	對地	2022-08-06 16	120.42	23.342
對地閃電 458-2022-08-06 16:10	對地	2022-08-06 16	120.386	23.308
雲間閃電 417-2022-08-06 16:10	雲間	2022-08-06 16	120.466	23.272
對地閃電 459-2022-08-06 16:10	對地	2022-08-06 16	120.473	23.332
雲間閃電 418-2022-08-06 16:10	雲間	2022-08-06 16	120.624	22.914
雲間閃電 419-2022-08-06 16:10	雲間	2022-08-06 16	120.609	22.952
雲間閃電 420-2022-08-06 16:10	雲間	2022-08-06 16	120.618	22.955
對地閃電 460-2022-08-06 16:11	對地	2022-08-06 16	120.415	23.333
雲間閃電 421-2022-08-06 16:11	雲間	2022-08-06 16	120.427	23.212
雲間閃電 422-2022-08-06 16:11	雲間	2022-08-06 16	120.431	23.213
對地閃電 461-2022-08-06 16:11	對地	2022-08-06 16	120.43	23.217
對地閃電 462-2022-08-06 16:11	對地	2022-08-06 16	120.465	23.199
雲間閃電 423-2022-08-06 16:11	雲間	2022-08-06 16	120.493	23.38
對地閃電 463-2022-08-06 16:11	對地	2022-08-06 16	120.502	23.378
對地閃電 464-2022-08-06 16:11	對地	2022-08-06 16	120.456	23.29
對地閃電 465-2022-08-06 16:11	對地	2022-08-06 16	120.471	23.377
雲間閃電 424-2022-08-06 16:11	雲間	2022-08-06 16	120.608	23.476
對地閃電 466-2022-08-06 16:11	對地	2022-08-06 16	120.453	23.235
雲間閃電 425-2022-08-06 16:11	雲間	2022-08-06 16	120.345	23.214
對地閃電 467-2022-08-06 16:11	對地	2022-08-06 16	120.642	22.959
雲間閃電 426-2022-08-06 16:11	雲間	2022-08-06 16	120.638	22.966
雲間閃電 427-2022-08-06 16:11	雲間	2022-08-06 16	120.642	22.966
雲間閃電 428-2022-08-06 16:11	雲間	2022-08-06 16	120.635	22.965
對地閃電 468-2022-08-06 16:11	對地	2022-08-06 16	120.514	23.034
雲間閃電 429-2022-08-06 16:11	雲間	2022-08-06 16	120.537	23.036
對地閃電 469-2022-08-06 16:11	對地	2022-08-06 16	120.442	23.274
對地閃電 470-2022-08-06 16:11	對地	2022-08-06 16	120.414	23.314
雲間閃電 430-2022-08-06 16:11	雲間	2022-08-06 16	120.642	23.008
雲間閃電 431-2022-08-06 16:11	雲間	2022-08-06 16	120.636	23.006
對地閃電 471-2022-08-06 16:11	對地	2022-08-06 16	120.481	23.208
對地閃電 472-2022-08-06 16:11	對地	2022-08-06 16	120.394	23.125
雲間閃電 432-2022-08-06 16:11	雲間	2022-08-06 16	120.375	23.103
對地閃電 473-2022-08-06 16:11	對地	2022-08-06 16	120.414	23.072
雲間閃電 433-2022-08-06 16:11	雲間	2022-08-06 16	120.513	23.402
雲間閃電 434-2022-08-06 16:11	雲間	2022-08-06 16	120.546	23.023
對地閃電 474-2022-08-06 16:11	對地	2022-08-06 16	120.551	23.018
對地閃電 475-2022-08-06 16:11	對地	2022-08-06 16	120.554	23.459
雲間閃電 435-2022-08-06 16:11	雲間	2022-08-06 16	120.422	23.338
對地閃電 476-2022-08-06 16:11	對地	2022-08-06 16	120.463	22.968
對地閃電 477-2022-08-06 16:11	對地	2022-08-06 16	120.537	23.471
對地閃電 478-2022-08-06 16:11	對地	2022-08-06 16	120.611	22.976
雲間閃電 436-2022-08-06 16:11	雲間	2022-08-06 16	120.379	23.284
雲間閃電 437-2022-08-06 16:11	雲間	2022-08-06 16	120.344	23.262
對地閃電 479-2022-08-06 16:11	對地	2022-08-06 16	120.337	23.252
雲間閃電 438-2022-08-06 16:11	雲間	2022-08-06 16	120.434	23.363
對地閃電 480-2022-08-06 16:11	對地	2022-08-06 16	120.44	23.343
對地閃電 481-2022-08-06 16:11	對地	2022-08-06 16	120.538	22.899
對地閃電 482-2022-08-06 16:11	對地	2022-08-06 16	120.428	23.202
對地閃電 483-2022-08-06 16:11	對地	2022-08-06 16	120.459	23.143
對地閃電 484-2022-08-06 16:11	對地	2022-08-06 16	120.541	23.023
對地閃電 485-2022-08-06 16:11	對地	2022-08-06 16	120.482	22.977
雲間閃電 439-2022-08-06 16:11	雲間	2022-08-06 16	120.547	23.041
對地閃電 486-2022-08-06 16:11	對地	2022-08-06 16	120.44	23.31
對地閃電 487-2022-08-06 16:11	對地	2022-08-06 16	120.351	23.382
對地閃電 488-2022-08-06 16:11	對地	2022-08-06 16	120.451	23.288
對地閃電 489-2022-08-06 16:11	對地	2022-08-06 16	120.541	23.473
雲間閃電 440-2022-08-06 16:11	雲間	2022-08-06 16	120.504	22.866
雲間閃電 441-2022-08-06 16:11	雲間	2022-08-06 16	120.487	23.378
雲間閃電 442-2022-08-06 16:11	雲間	2022-08-06 16	120.459	23.376
雲間閃電 443-2022-08-06 16:11	雲間	2022-08-06 16	120.5	22.998
雲間閃電 444-2022-08-06 16:11	雲間	2022-08-06 16	120.611	22.961
對地閃電 490-2022-08-06 16:11	對地	2022-08-06 16	120.585	22.985
雲間閃電 445-2022-08-06 16:11	雲間	2022-08-06 16	120.312	23.198
雲間閃電 446-2022-08-06 16:11	雲間	2022-08-06 16	120.32	23.208
雲間閃電 447-2022-08-06 16:11	雲間	2022-08-06 16	120.583	23.478
對地閃電 491-2022-08-06 16:11	對地	2022-08-06 16	120.475	23.244
對地閃電 492-2022-08-06 16:11	對地	2022-08-06 16	120.344	23.26
對地閃電 493-2022-08-06 16:12	對地	2022-08-06 16	120.393	23.187
雲間閃電 448-2022-08-06 16:12	雲間	2022-08-06 16	120.498	23.26
雲間閃電 449-2022-08-06 16:12	雲間	2022-08-06 16	120.299	23.256
對地閃電 494-2022-08-06 16:12	對地	2022-08-06 16	120.566	22.979
對地閃電 495-2022-08-06 16:12	對地	2022-08-06 16	120.5	22.922
雲間閃電 450-2022-08-06 16:12	雲間	2022-08-06 16	120.616	22.984
雲間閃電 451-2022-08-06 16:12	雲間	2022-08-06 16	120.62	22.973
雲間閃電 452-2022-08-06 16:12	雲間	2022-08-06 16	120.482	22.917
雲間閃電 453-2022-08-06 16:12	雲間	2022-08-06 16	120.444	23.314
對地閃電 496-2022-08-06 16:12	對地	2022-08-06 16	120.399	23.271
對地閃電 497-2022-08-06 16:12	對地	2022-08-06 16	120.446	23.363
雲間閃電 454-2022-08-06 16:12	雲間	2022-08-06 16	120.342	23.197
對地閃電 498-2022-08-06 16:12	對地	2022-08-06 16	120.442	23.279
雲間閃電 455-2022-08-06 16:12	雲間	2022-08-06 16	120.534	22.904
雲間閃電 456-2022-08-06 16:12	雲間	2022-08-06 16	120.578	23.449
對地閃電 499-2022-08-06 16:12	對地	2022-08-06 16	120.389	23.161
對地閃電 500-2022-08-06 16:12	對地	2022-08-06 16	120.401	23.127
雲間閃電 457-2022-08-06 16:12	雲間	2022-08-06 16	120.422	23.176
雲間閃電 458-2022-08-06 16:12	雲間	2022-08-06 16	120.465	23.38
對地閃電 501-2022-08-06 16:12	對地	2022-08-06 16	120.571	22.994
對地閃電 502-2022-08-06 16:12	對地	2022-08-06 16	120.577	23.001
雲間閃電 459-2022-08-06 16:12	雲間	2022-08-06 16	120.573	22.998
雲間閃電 460-2022-08-06 16:12	雲間	2022-08-06 16	120.584	22.984
對地閃電 503-2022-08-06 16:12	對地	2022-08-06 16	120.572	22.991
雲間閃電 461-2022-08-06 16:12	雲間	2022-08-06 16	120.485	23.381
對地閃電 504-2022-08-06 16:12	對地	2022-08-06 16	120.303	23.129
對地閃電 505-2022-08-06 16:12	對地	2022-08-06 16	120.607	22.971
對地閃電 506-2022-08-06 16:12	對地	2022-08-06 16	120.458	23.214
對地閃電 507-2022-08-06 16:12	對地	2022-08-06 16	120.524	23.042
雲間閃電 462-2022-08-06 16:12	雲間	2022-08-06 16	120.396	23.305
雲間閃電 463-2022-08-06 16:12	雲間	2022-08-06 16	120.577	22.891
對地閃電 508-2022-08-06 16:12	對地	2022-08-06 16	120.552	23.38
雲間閃電 464-2022-08-06 16:12	雲間	2022-08-06 16	120.591	22.993
對地閃電 509-2022-08-06 16:12	對地	2022-08-06 16	120.59	22.98
雲間閃電 465-2022-08-06 16:12	雲間	2022-08-06 16	120.579	23.461
雲間閃電 466-2022-08-06 16:12	雲間	2022-08-06 16	120.449	23.202
雲間閃電 467-2022-08-06 16:12	雲間	2022-08-06 16	120.619	22.969
對地閃電 510-2022-08-06 16:12	對地	2022-08-06 16	120.624	22.965
雲間閃電 468-2022-08-06 16:12	雲間	2022-08-06 16	120.362	23.26
雲間閃電 469-2022-08-06 16:12	雲間	2022-08-06 16	120.349	23.263
對地閃電 511-2022-08-06 16:13	對地	2022-08-06 16	120.398	23.287
對地閃電 512-2022-08-06 16:13	對地	2022-08-06 16	120.512	23.36
對地閃電 513-2022-08-06 16:13	對地	2022-08-06 16	120.61	22.955
對地閃電 514-2022-08-06 16:13	對地	2022-08-06 16	120.588	22.957
雲間閃電 470-2022-08-06 16:13	雲間	2022-08-06 16	120.594	22.956
對地閃電 515-2022-08-06 16:13	對地	2022-08-06 16	120.588	22.956
對地閃電 516-2022-08-06 16:13	對地	2022-08-06 16	120.587	22.957
對地閃電 517-2022-08-06 16:13	對地	2022-08-06 16	120.587	22.958
雲間閃電 471-2022-08-06 16:13	雲間	2022-08-06 16	120.584	22.994
對地閃電 518-2022-08-06 16:13	對地	2022-08-06 16	120.548	22.965
對地閃電 519-2022-08-06 16:13	對地	2022-08-06 16	120.431	23.258
雲間閃電 472-2022-08-06 16:13	雲間	2022-08-06 16	120.508	22.968
對地閃電 520-2022-08-06 16:13	對地	2022-08-06 16	120.398	23.141
對地閃電 521-2022-08-06 16:13	對地	2022-08-06 16	120.669	22.975
雲間閃電 473-2022-08-06 16:13	雲間	2022-08-06 16	120.502	22.963
對地閃電 522-2022-08-06 16:13	對地	2022-08-06 16	120.474	23.277
對地閃電 523-2022-08-06 16:13	對地	2022-08-06 16	120.538	22.91
對地閃電 524-2022-08-06 16:13	對地	2022-08-06 16	120.538	22.909
對地閃電 525-2022-08-06 16:13	對地	2022-08-06 16	120.627	22.97
對地閃電 526-2022-08-06 16:13	對地	2022-08-06 16	120.443	23.3
雲間閃電 474-2022-08-06 16:13	雲間	2022-08-06 16	120.479	22.907
雲間閃電 475-2022-08-06 16:13	雲間	2022-08-06 16	120.33	23.214
對地閃電 527-2022-08-06 16:13	對地	2022-08-06 16	120.435	23.293
對地閃電 528-2022-08-06 16:13	對地	2022-08-06 16	120.471	23.217
雲間閃電 476-2022-08-06 16:13	雲間	2022-08-06 16	120.529	22.903
對地閃電 529-2022-08-06 16:13	對地	2022-08-06 16	120.525	23.011
對地閃電 530-2022-08-06 16:13	對地	2022-08-06 16	120.525	23.014
對地閃電 531-2022-08-06 16:13	對地	2022-08-06 16	120.444	23.357
對地閃電 532-2022-08-06 16:13	對地	2022-08-06 16	120.45	23.276
雲間閃電 477-2022-08-06 16:13	雲間	2022-08-06 16	120.432	23.239
對地閃電 533-2022-08-06 16:13	對地	2022-08-06 16	120.45	23.262
對地閃電 534-2022-08-06 16:13	對地	2022-08-06 16	120.576	22.983
對地閃電 535-2022-08-06 16:13	對地	2022-08-06 16	120.59	22.992
對地閃電 536-2022-08-06 16:13	對地	2022-08-06 16	120.413	23.153
對地閃電 537-2022-08-06 16:13	對地	2022-08-06 16	120.54	23.25
對地閃電 538-2022-08-06 16:13	對地	2022-08-06 16	120.324	23.117
對地閃電 539-2022-08-06 16:13	對地	2022-08-06 16	120.536	22.897
雲間閃電 478-2022-08-06 16:13	雲間	2022-08-06 16	120.491	22.92
雲間閃電 479-2022-08-06 16:13	雲間	2022-08-06 16	120.491	22.919
對地閃電 540-2022-08-06 16:13	對地	2022-08-06 16	120.488	22.921
雲間閃電 480-2022-08-06 16:13	雲間	2022-08-06 16	120.497	22.924
雲間閃電 481-2022-08-06 16:13	雲間	2022-08-06 16	120.49	22.918
雲間閃電 482-2022-08-06 16:13	雲間	2022-08-06 16	120.497	22.924
雲間閃電 483-2022-08-06 16:13	雲間	2022-08-06 16	120.491	22.919
對地閃電 541-2022-08-06 16:13	對地	2022-08-06 16	120.558	23.449
對地閃電 542-2022-08-06 16:13	對地	2022-08-06 16	120.534	23.385
對地閃電 543-2022-08-06 16:13	對地	2022-08-06 16	120.466	23.325
對地閃電 544-2022-08-06 16:13	對地	2022-08-06 16	120.43	23.288
對地閃電 545-2022-08-06 16:13	對地	2022-08-06 16	120.411	23.326
雲間閃電 484-2022-08-06 16:13	雲間	2022-08-06 16	120.603	22.978
對地閃電 546-2022-08-06 16:13	對地	2022-08-06 16	120.599	22.978
對地閃電 547-2022-08-06 16:13	對地	2022-08-06 16	120.431	23.357
雲間閃電 485-2022-08-06 16:13	雲間	2022-08-06 16	120.46	23.364
雲間閃電 486-2022-08-06 16:13	雲間	2022-08-06 16	120.459	23.276
對地閃電 548-2022-08-06 16:13	對地	2022-08-06 16	120.547	23.396
對地閃電 549-2022-08-06 16:13	對地	2022-08-06 16	120.465	23.264
對地閃電 550-2022-08-06 16:13	對地	2022-08-06 16	120.546	23.036
對地閃電 551-2022-08-06 16:13	對地	2022-08-06 16	120.536	22.996
對地閃電 552-2022-08-06 16:13	對地	2022-08-06 16	120.546	23.033
對地閃電 553-2022-08-06 16:14	對地	2022-08-06 16	120.527	23.357
對地閃電 554-2022-08-06 16:14	對地	2022-08-06 16	120.318	23.109
雲間閃電 487-2022-08-06 16:14	雲間	2022-08-06 16	120.528	22.901
對地閃電 555-2022-08-06 16:14	對地	2022-08-06 16	120.564	22.978
對地閃電 556-2022-08-06 16:14	對地	2022-08-06 16	120.546	22.977
雲間閃電 488-2022-08-06 16:14	雲間	2022-08-06 16	120.501	22.988
雲間閃電 489-2022-08-06 16:14	雲間	2022-08-06 16	120.444	23.315
雲間閃電 490-2022-08-06 16:14	雲間	2022-08-06 16	120.477	22.91
